authors,title,source,DNA_RNA,DNA,RNA,year,volume_l,filter_size_µm,filter_type,DNA_extr,loci,16S,18S,23S,28S,ITS2,ITS1,cytb,CO1,NADH4,D-loop,12S,rbcL,rrnA,arrA,cbbL,nifH,aprA,rpoC1,pufM,luxA,amoA,mutS,phnD,LSU rDNA,tufA,genome,transcriptome,water,fresh,marine,system,type_organism,id_type,ASV,OTU,Species,max_OTUs,max_ASV,max_spp,max_spp_other,phylum,continent,region,country
"Stevens, H; Ulloa, O",Bacterial diversity in the oxygen minimum zone of the eastern tropical SOTUh Pacific,ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2008,10,<0.22,Polysulfone,PCI_alt,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,"Coastal Ocean, Open Ocean",Bacteria,OTU,0,1,0,60,NA,NA,NA,>10,SOTUh America,SOTUheast Pacific,Chile
"Amaral-Zettler, LA; Rocca, JD; Lamontagne, MG; Dennett, MR; Gast, RJ",Changes in microbial community structure in the wake of Hurricanes Katrina and Rita,ENVIRONMENTAL SCIENCE & TECHNOLOGY,DNA,1,0,2008,NA,<0.22,Polyethersulfone,QGC_Kit_alt,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Non target,OTU,0,1,0,"2,139",NA,NA,NA,>10,North America,NA,USA
"Langlois, RJ; Hummer, D; LaRoche, J",Abundances and distributions of the dominant nifH phylotypes in the Northern Atlantic Ocean,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2008,4,<0.22,Polysulfone,QDP_Kit,nifH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,"Coastal Ocean, Open Ocean",Non target,NA,0,0,0,NA,NA,NA,NA,"Proteobacteria, Cyanophyta",Europe,Northeast Atlantic,Germany
"Yutin, N; Beja, O; Suzuki, MT",The use of denaturing gradient gel electrophoresis with fully degenerate pufM primers to monitor aerobic anoxygenic phototrophic assemblages,LIMNOLOGY AND OCEANOGRAPHY-METHODS,DNA,1,0,2008,15,<0.22,Polyethersulfone,PCI,pufM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Non target,NA,0,0,0,NA,NA,NA,NA,NA,Asia,Mediterranean Sea,Israel
"Ionescu, D; Penno, S; Haimovich, M; Rihtman, B; Goodwin, A; Schwartz, D; Hazanov, L; Chernihovsky, M; Post, AF; Oren, A",Archaea in the Gulf of Aqaba,FEMS MICROBIOLOGY ECOLOGY,DNA,1,0,2009,0.5,<0.22,Polycarbonate,PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Archaea,NA,0,0,0,NA,NA,NA,NA,"Euryarchaeota, Crenarchaeota",Asia,Red Sea,Jordan
"Rodriguez-Martinez, R; Labrenz, M; del Campo, J; Forn, I; Jurgens, K; Massana, R","Distribution of the uncultured protist MAST-4 in the Indian Ocean, Drake Passage and Mediterranean Sea assessed by real-time quantitative PCR",ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2009,12.5,<0.22,Polyethersulfone,PCI,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Open Ocean,Protist,NA,0,0,0,NA,NA,NA,NA,NA,"SOTUh America, Europe",Global,"Argentina, Spain"
"Gentile, G; De Luca, M; Denaro, R; La Cono, V; Smedile, F; Scarfi, S; De Domenico, E; De Domenico, M; Yakimov, MM",PCR-based detection of bioluminescent microbial populations in Tyrrhenian Sea,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,DNA,1,0,2009,5,<0.22,Polycarbonate,QAP_Kit,"luxA, 16S",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,marine,0,1,Open Ocean,Bacteria,Species,0,0,1,NA,NA,8,NA,NA,Europe,Mediterranean Sea,Italy
"Tai, V; Palenik, B",Temporal variation of Synechococcus clades at a coastal Pacific Ocean monitoring site,ISME JOURNAL,DNA,1,0,2009,0.75,<0.22,Polysulfone,QBT_Kit_alt,rpoC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Bacteria,NA,0,0,0,NA,NA,NA,NA,Cyanophyta,North America,Northeast Pacific,USA
"Stoeck, T; Bass, D; Nebel, M; Christen, R; Jones, MDM; Breiner, HW; Richards, TA",Multiple marker parallel tag environmental DNA sequencing reveals a highly complex eukaryotic community in marine anoxic water,MOLECULAR ECOLOGY,DNA,1,0,2010,10,0.4_1,Polyvinylidene_fluoride,PCI,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Estuary,Non target,OTU,0,1,0,2633,NA,NA,NA,>10,Europe,Northeast Atlantic,Norway
"Mutlu, MB; Guven, K","Detection of prokaryotic microbial communities of Camalti Saltern, Turkey, by fluorescein in situ hybridization and real-time PCR",TURKISH JOURNAL OF BIOLOGY,DNA,1,0,2011,0.05,<0.22,Polysulfone,PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Pond,Non target,NA,0,0,0,NA,NA,NA,NA,NA,Asia,Mediterranean Sea,Turkey
"Bourbonnais, A; Juniper, SK; Butterfield, DA; Devol, AH; Kuypers, MMM; Lavik, G; Hallam, SJ; Wenk, CB; Chang, BX; Murdock, SA; Lehmann, MF",Activity and abundance of denitrifying bacteria in the subsurface biosphere of diffuse hydrothermal vents of the Juan de Fuca Ridge,BIOGEOSCIENCES,DNA,1,0,2012,1,<0.22,Polyethersulfone,PCI_alt,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Deep Ocean,Non target,OTU,0,1,0,121,NA,NA,NA,>10,North America,"Northeast Pacific, Northwest Atlantic",Canada
"Covacevich, F; Silva, RI; Cumino, AC; Calo, G; Negri, RM; Salerno, GL",First archaeal rDNA sequences from Argentine coastal waters: Unexpected PCR characterization using eukaryotic primers,CIENCIAS MARINAS,DNA,1,0,2012,2.5,<0.22,Polycarbonate,PCI,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,"Coastal Ocean, Open Ocean",Archaea,NA,0,0,0,NA,NA,NA,NA,>10,SOTUh America,SOTUhwest Atlantic,Argentina
"Abell, GCJ; Robert, SS; Frampton, DMF; Volkman, JK; Rizwi, F; Csontos, J; Bodrossy, L","High-Throughput Analysis of Ammonia Oxidiser Community Composition via a Novel, amoA-Based Functional Gene Array",PLOS ONE,DNA,1,0,2012,1,<0.22,Polycarbonate,MPFD_kit,amoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,marine,0,1,Open Ocean,Non target,NA,0,0,0,NA,NA,NA,NA,>10,Oceania,Indo-Pacific,Australia
"Takahara, T; Minamoto, T; Yamanaka, H; Doi, H; Kawabata, Z",Estimation of Fish Biomass Using Environmental DNA,PLOS ONE,DNA,1,0,2012,0.02,0.4_1,Polycarbonate,QBT_Kit,cytb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Pond,Fish,NA,0,0,0,NA,NA,NA,NA,Chordata,Asia,NA,Japan
"Lindh, MV; Riemann, L; Baltar, F; Romero-Oliva, C; Salomon, PS; Graneli, E; Pinhassi, J",Consequences of increased temperature and acidification on bacterioplankton community composition during a mesocosm spring bloom in the Baltic Sea,ENVIRONMENTAL MICROBIOLOGY REPORTS,DNA,1,0,2013,0.75,<0.22,Polysulfone,PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Bacteria,OTU,0,1,0,17,NA,NA,NA,"Bacteriodetes, Proteobacteria, Cyanophyta",Europe,Baltic Sea,Sweden
"Jezbera, J; Jezberova, J; Kasalicky, V; Simek, K; Hahn, MW",Patterns of Limnohabitans Microdiversity across a Large Set of Freshwater Habitats as Revealed by Reverse Line Blot Hybridization,PLOS ONE,DNA,1,0,2013,0.35,<0.22,NA,PCI,"16S, 23S",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Non target,NA,0,0,0,NA,NA,NA,NA,Proteobacteria,Europe,NA,Czech Republic
"Bradford, TM; Morgan, MJ; Lorenz, Z; Hartley, DM; Hardy, CM; Oliver, RL",Microeukaryote community composition assessed by pyrosequencing is associated with light availability and phytoplankton primary production along a lowland river,FRESHWATER BIOLOGY,DNA,1,0,2013,15,<0.22,Glass_Fiber,QPS_Kit,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Non target,OTU,0,1,0,329.68,NA,NA,NA,>10,Oceania,NA,Australia
"Kelly, RP; Port, JA; Yamahara, KM; Crowder, LB",Using Environmental DNA to Census Marine Fishes in a Large Mesocosm,PLOS ONE,DNA,1,0,2014,1,<0.22,Polysulfone,QBT_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Aquarium,Fish,Species,0,0,1,NA,NA,23,NA,Chordata,North America,Northeast Pacific,USA
"Barberan, A; Casamayor, EO","A phylogenetic perspective on species diversity, beta-diversity and biogeography for the microbial world",MOLECULAR ECOLOGY,DNA,1,0,2014,0.25,<0.22,Polycarbonate,PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Non target,NA,0,0,0,NA,NA,NA,NA,"Proteobacteria, Bacteroidetes, Actinobacteria",Europe,NA,Spain
"Xiao, X; Sogge, H; Lagesen, K; Tooming-Klunderud, A; Jakobsen, KS; Rohrlack, T",Use of High Throughput Sequencing and Light Microscopy Show Contrasting Results in a Study of Phytoplankton Occurrence in a Freshwater Environment,PLOS ONE,DNA,1,0,2014,1,0.4_1,Cellulose_Acetate,NA,"16S, 18S",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Phytoplankton,OTU,0,1,0,"2,240",NA,NA,NA,>10,Europe,NA,Norway
"Hartikainen, H; Ashford, OS; Berney, C; Okamura, B; Feist, SW; Baker-Austin, C; Stentiford, GD; Bass, D",Lineage-specific molecular probing reveals novel diversity and ecological partitioning of haplosporidians,ISME JOURNAL,DNA,1,0,2014,150,0.4_1,Polycarbonate,QUS_Kit,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Channel,Parasite,OTU,0,1,0,49,NA,NA,NA,Cercozoa,Europe,Northeast Atlantic,UK
"Miya, M; Sato, Y; Fukunaga, T; Sado, T; Poulsen, JY; Sato, K; Minamoto, T; Yamamoto, S; Yamanaka, H; Araki, H; Kondoh, M; Iwasaki, W","MiFish, a set of universal PCR primers for metabarcoding environmental DNA from fishes: detection of more than 230 subtropical marine species",ROYAL SOCIETY OPEN SCIENCE,DNA,1,0,2015,10,0.4_1,Glass_Fiber,QBT_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fresh, marine",1,1,"Coral reef, Aquarium",Fish,Species,0,0,1,NA,NA,232,NA,Chordata,Asia,Northwest Pacific,Japan
"McCarthy, A; Chiang, E; Schmidt, ML; Denef, VJ",RNA Preservation Agents and Nucleic Acid Extraction Method Bias Perceived Bacterial Community Composition,PLOS ONE,DNA,1,0,2015,10,<0.22,Polyethersulfone,QAP_Kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,"Lake, River",Bacteria,OTU,0,1,0,89,NA,NA,NA,>10,North America,NA,USA
"Mohiuddin, M; Schellhorn, HE",Spatial and temporal dynamics of virus occurrence in two freshwater lakes captured through metagenomic analysis,FRONTIERS IN MICROBIOLOGY,DNA,1,0,2015,0.1,<0.22,Polyethersulfone,NBD_Kit,Genomic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,fresh,1,0,Lake,Virus,NA,0,0,0,NA,NA,NA,NA,NA,North America,NA,Canada
"Port, JA; O'Donnell, JL; Romero-Maraccini, OC; Leary, PR; Litvin, SY; Nickols, KJ; Yamahara, KM; Kelly, RP",Assessing vertebrate biodiversity in a kelp forest ecosystem using environmental DNA,MOLECULAR ECOLOGY,DNA,1,0,2016,3,<0.22,Polysulfone,QPW_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Kelp forest,Non target,OTU,0,1,0,33,NA,NA ,NA,Chordata,North America,Northeast Pacific,USA
"Civade, R; Dejean, T; Valentini, A; Roset, N; Raymond, JC; Bonin, A; Taberlet, P; Pont, D",Spatial Representativeness of Environmental DNA Metabarcoding Signal for Fish Biodiversity Assessment in a Natural Freshwater System,PLOS ONE,DNA,1,0,2016,45,0.4_1,Polyester,QBT_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Fish,Species,0,0,1,NA,NA,21,NA,Chordata,Europe,NA,France
"Thomsen, PF; Moller, PR; Sigsgaard, EE; Knudsen, SW; Jorgensen, OA; Willerslev, E","Environmental DNA from Seawater Samples Correlate with Trawl Catches of Subarctic, Deepwater Fishes",PLOS ONE,DNA,1,0,2016,1.5,0.4_1,Nylon,QBT_Kit_alt,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Deep Ocean,Fish,Species,0,0,1,NA,NA,NA ,37,Chordata,North America,Arctic Ocean,Greenland
"Shaw, JLA; Clarke, LJ; Wedderburn, SD; Barnes, TC; Weyrich, LS; Cooper, A",Comparison of environmental DNA metabarcoding and conventional fish survey methods in a river system,BIOLOGICAL CONSERVATION,DNA,1,0,2016,1,0.4_1,Nitrocellulose,QPW_Kit,"12S, 16S",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Fish,Species,0,0,1,NA,NA,8,NA,Chordata,Oceania,NA,Australia
"Olds, BP; Jerde, CL; Renshaw, MA; Li, YY; Evans, NT; Turner, CR; Deiner, K; Mahon, AR; Brueseke, MA; Shirey, PD; Pfrender, ME; Lodge, DM; Lamberti, GA",Estimating species richness using environmental DNA,ECOLOGY AND EVOLUTION,DNA,1,0,2016,0.25,>1,Polycarbonate,PCI,"12S, 16S, cytb",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Fish,Species,0,0,1,NA,NA,16,NA,Chordata,North America,NA,USA
"Hanfling, B; Handley, LL; Read, DS; Hahn, C; Li, JL; Nichols, P; Blackman, RC; Oliver, A; Winfield, IJ",Environmental DNA metabarcoding of lake fish communities reflects long-term data from established survey methods,MOLECULAR ECOLOGY,DNA,1,0,2016,2,0.4_1,Cellulose_Nitrate,QPW_Kit,"12S, cytb",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Fish,Species,0,0,1,NA,NA,14,NA,Chordata,Europe,NA,UK
"Denef, VJ; Mueller, RS; Chiang, EN; Liebig, JR; Vanderploeg, HA",Chloroflexi CL500-11 Populations That Predominate Deep-Lake Hypolimnion Bacterioplankton Rely on Nitrogen-Rich Dissolved Organic Matter Metabolism and C-1 Compound Oxidation,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,DNA,1,0,2016,30,<0.22,Membrane,QAP_Kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Bacteria,NA,0,0,0,NA,NA,NA ,NA,NA,North America,NA,USA
"Osterholz, H; Singer, G; Wemheuer, B; Daniel, R; Simon, M; Niggemann, J; Dittmar, T",Deciphering associations between dissolved organic molecules and bacterial communities in a pelagic marine system,ISME JOURNAL,DNA,1,0,2016,10,<0.22,"Glass_Fiber, Polycarbonate",PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Coastal Ocean,Bacteria,OTU,0,1,0,526,NA,NA ,NA,"Proteobacteria, Verrucomicrobia, Flavobacteria, Cyanophyta",Europe,Northeast Atlantic,Germany
"Kelly, RP; O'Donnell, JL; Lowell, NC; Shelton, AO; Samhouri, JF; Hennessey, SM; Feist, BE; Williams, GD",Genetic signatures of ecological diversity along an urbanization gradient,PEERJ,DNA,1,0,2016,1,0.4_1,Cellulose,PCI,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Open Ocean,Non target,OTU,0,1,0,"1,664",NA,NA ,NA,"Mollusca, Arthropoda, Chordata, Bryozoa, Echinodermata, Nemertea, Hemichordata, Entoprocta, Porifera",North America,Northeast Pacific,USA
"Hartikainen, H; Bass, D; Briscoe, AG; Knipe, H; Green, AJ; Okamura, B",Assessing myxozoan presence and diversity using environmental DNA,INTERNATIONAL JOURNAL FOR PARASITOLOGY,DNA,1,0,2016,25,0.4_1,NA,QPS_Kit,16S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,"Pond, River, Lake",Invertebrate,OTU,0,1,0,112,NA,NA ,NA,Cnidaria,Europe,NA,UK
"Abad, D; Albaina, A; Aguirre, M; Laza-Martinez, A; Uriarte, I; Iriarte, A; Villate, F; Estonba, A",Is metabarcoding suitable for estuarine plankton monitoring? A comparative study with microscopy,MARINE BIOLOGY,DNA,1,0,2016,1,<0.22,Membrane,QPS_Kit,18S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Estuary,Non target,OTU,0,1,0,831,NA,NA ,NA,>10,Europe,Northeast Atlantic,Spain
"Keskin, E; Unal, EM; Atar, HH",Detection of rare and invasive freshwater fish species using eDNA pyrosequencirig: Lake Iznik ichthyofauna revised,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,DNA,1,0,2016,1.5,<0.22,Cellulose_Nitrate,CGM_Kit,cytb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,Lake,Fish,Species,0,0,1,NA,NA,23,NA,Chordata,Asia,NA,Turkey
"Andruszkiewicz, EA; Sassoubre, LM; Boehm, AB",Persistence of marine fish environmental DNA and the influence of sunlight,PLOS ONE,DNA,1,0,2017,0.5,<0.22,Polycarbonate,QBT_Kit_alt,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Aquarium,Fish,OTU,0,1,0,190,NA,NA ,NA,Chordata,North America,Northeast Pacific,USA
"Andruszkiewicz, EA; Starks, HA; Chavez, FP; Sassoubre, LM; Block, BA; Boehm, AB",Biomonitoring of marine vertebrates in Monterey Bay using eDNA metabarcoding,PLOS ONE,DNA,1,0,2017,1,<0.22,Polyvinylidene_fluoride,QBT_Kit_alt,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,"Coastal Ocean, Deep Ocean",Fish,OTU,0,1,0,"1,165",NA,NA ,NA,Chordata,North America,Northeast Pacific,USA
"Yamamoto, S; Masuda, R; Sato, Y; Sado, T; Araki, H; Kondoh, M; Minamoto, T; Miya, M",Environmental DNA metabarcoding reveals local fish communities in a species-rich coastal sea,SCIENTIFIC REPORTS,DNA,1,0,2017,1,0.4_1,Glass_Fiber,QBT_Kit_alt,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marine,0,1,Bay,Fish,"OTU, Species",0,1,1,128,NA,112,NA,Chordata,Asia,Northwest Pacific,Japan
"Sasso, T; Lopes, CM; Valentini, A; Dejean, T; Zarnudio, KR; Haddad, CFB; Martins, M",Environmental DNA characterization of amphibian communities in the Brazilian Atlantic forest: Potential application for conservation of a rich and threatened fauna,BIOLOGICAL CONSERVATION,DNA,1,0,2017,60,>1,Polyester,QBT_Kit,12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fresh,1,0,River,Amphibian,Species,0,0,1,NA,NA,19,NA,Chordata,SOTUh America,NA,Brazil
